"Speaker","Rand","Pros","Word","Durw","Fvowel","DurFvowel","stress"
"FB","rand4","Stat","bide'",0.42,"e",0.18,1
"FB","rand4","Stat","kepi'",0.43,"i",0.13,1
"FB","rand4","Stat","ramo",0.48,"o",0.1,0
"FB","rand4","Stat","falo'",0.41,"o",0.13,1
"FB","rand4","Stat","mose'",0.42,"e",0.14,1
"FB","rand4","Stat","pate'",0.49,"e",0.16,1
"FB","rand4","Stat","maro'",0.38,"o",0.16,1
"FB","rand4","Stat","sede",0.45,"e",0.12,0
"FB","rand4","Stat","gile'",0.36,"e",0.14,1
"FB","rand4","Stat","casa",0.43,"a",0.1,0
"FB","rand4","Stat","toto'",0.42,"o",0.12,1
"FB","rand4","Stat","bara",0.46,"a",0.13,0
"FB","rand4","Stat","kali'",0.36,"i",0.13,1
"FB","rand4","Stat","rita",0.38,"a",0.13,0
"FB","rand4","Stat","pupi",0.51,"i",0.14,0
"FB","rand4","Stat","meta'",0.37,"a",0.13,1
"FB","rand4","Stat","tana",0.42,"a",0.11,0
"FB","rand4","Stat","pipi'",0.37,"i",0.1,1
"FB","rand4","Stat","mimi'",0.34,"i",0.13,1
"FB","rand4","Stat","palo",0.49,"o",0.11,0
"FC","rand2","Query","gile'",0.39,"e",0.21,1
"FC","rand2","Query","tito",0.41,"o",0.15,0
"FC","rand2","Query","bide'",0.44,"e",0.23,1
"FC","rand2","Query","para'",0.42,"a",0.24,1
"FC","rand2","Query","tate",0.39,"e",0.11,0
"FC","rand2","Query","maro'",0.38,"o",0.21,1
"FC","rand2","Query","nana'",0.42,"a",0.24,1
"FC","rand2","Query","remi",0.35,"i",0.13,0
"FC","rand2","Query","casa",0.44,"a",0.12,0
"FC","rand2","Query","toto'",0.44,"o",0.24,1
"FC","rand2","Query","sede",0.44,"e",0.17,0
"FC","rand2","Query","kali'",0.31,"i",0.15,1
"FC","rand2","Query","pipi'",0.46,"i",0.23,1
"FC","rand2","Query","case",0.47,"e",0.14,0
"FC","rand2","Query","sofa'",0.43,"a",0.19,1
"FC","rand2","Query","falo'",0.38,"o",0.21,1
"FC","rand2","Query","meta'",0.43,"a",0.24,1
"FC","rand2","Query","pupi",0.46,"i",0.17,0
"FC","rand2","Query","pate'",0.48,"e",0.25,1
"FC","rand2","Query","tana",0.43,"a",0.16,0
"FC","rand2","Query","rita",0.36,"a",0.14,0
"FC","rand2","Query","bepi",0.42,"i",0.13,0
"FC","rand2","Query","como'",0.38,"o",0.2,1
"FC","rand2","Query","baro",0.37,"o",0.11,0
"FC","rand2","Query","mali",0.38,"i",0.12,0
"FC","rand2","Query","kepi'",0.44,"i",0.21,1
"FC","rand2","Query","palo",0.42,"o",0.14,0
"FC","rand2","Query","mimi'",0.37,"i",0.18,1
"FC","rand2","Query","ramo",0.41,"o",0.11,0
"FC","rand2","Query","bara",0.38,"a",0.13,0
"FC","rand2","Query","cile",0.42,"e",0.14,0
"FC","rand2","Query","mose'",0.45,"e",0.21,1
"FC","rand2","Stat","mimi'",0.4,"i",0.13,1
"FC","rand2","Stat","casa",0.52,"a",0.13,0
"FC","rand2","Stat","baro",0.48,"o",0.12,0
"FC","rand2","Stat","como'",0.36,"o",0.12,1
"FC","rand2","Stat","gile'",0.41,"e",0.15,1
"FC","rand2","Stat","rita",0.39,"a",0.11,0
"FC","rand2","Stat","bara",0.45,"a",0.09,0
"FC","rand2","Stat","tana",0.42,"a",0.14,0
"FC","rand2","Stat","pupi",0.44,"i",0.1,0
"FC","rand2","Stat","para'",0.42,"a",0.15,1
"FC","rand2","Stat","sede",0.42,"e",0.11,0
"FC","rand2","Stat","palo",0.47,"o",0.12,0
