"Speaker","Rand","Position","Word","Durw","Vowel","Durvowel","stress"
"PG","rand3","prefinal","maro'",0.35,"o",0.17,1
"PG","rand3","prefinal","casa",0.49,"a",0.12,0
"PG","rand3","prefinal","sede",0.37,"e",0.11,0
"PG","rand3","prefinal","mimi'",0.35,"i",0.15,1
"PG","rand3","prefinal","tana",0.4,"a",0.11,0
"PG","rand3","prefinal","tito",0.45,"o",0.1,0
"PG","rand3","prefinal","pate'",0.35,"e",0.13,1
"PG","rand3","prefinal","rita",0.38,"a",0.12,0
"PG","rand3","prefinal","bepi",0.42,"i",0.09,0
"PG","rand3","prefinal","pupi",0.42,"i",0.11,0
"PG","rand3","prefinal","falo'",0.35,"o",0.12,1
"PG","rand3","prefinal","nana'",0.36,"a",0.19,1
"PG","rand3","prefinal","mose'",0.37,"e",0.13,1
"PG","rand3","prefinal","toto'",0.34,"o",0.14,1
"PG","rand3","prefinal","bide'",0.36,"e",0.16,1
"PG","rand3","prefinal","bara",0.42,"a",0.1,0
"PG","rand3","prefinal","baro",0.44,"o",0.1,0
"PG","rand3","prefinal","palo",0.44,"o",0.09,0
"PG","rand3","prefinal","remi",0.39,"i",0.1,0
"PG","rand3","prefinal","kali'",0.36,"i",0.15,1
"PG","rand3","prefinal","tate",0.48,"e",0.12,0
"PG","rand3","prefinal","ramo",0.36,"o",0.09,0
"PG","rand3","prefinal","mali",0.43,"i",0.11,0
"PG","rand3","prefinal","gile'",0.34,"e",0.16,1
"PG","rand3","prefinal","para'",0.37,"a",0.17,1
"RR","rand4","prefinal","mose'",0.44,"e",0.16,1
"RR","rand4","prefinal","pupi",0.52,"i",0.13,0
"RR","rand4","prefinal","maro'",0.39,"o",0.19,1
"RR","rand4","prefinal","mimi'",0.33,"i",0.11,1
"RR","rand4","prefinal","bepi",0.46,"i",0.13,0
"RR","rand4","prefinal","pate'",0.43,"e",0.16,1
"RR","rand4","prefinal","para'",0.4,"a",0.18,1
"RR","rand4","prefinal","tana",0.47,"a",0.14,0
"RR","rand4","prefinal","mali",0.44,"i",0.14,0
"RR","rand4","prefinal","sede",0.45,"e",0.14,0
"RR","rand4","prefinal","remi",0.38,"i",0.09,0
"RR","rand4","prefinal","cile",0.44,"e",0.11,0
"RR","rand4","prefinal","kepi'",0.38,"i",0.12,1
"RR","rand4","prefinal","rita",0.43,"a",0.14,0
"RR","rand4","prefinal","toto'",0.43,"o",0.17,1
"RR","rand4","prefinal","case",0.5,"e",0.11,0
"RR","rand4","prefinal","bide'",0.41,"e",0.19,1
"RR","rand4","prefinal","gile'",0.35,"e",0.17,1
"RR","rand4","prefinal","pipi'",0.4,"i",0.14,1
"RR","rand4","prefinal","casa",0.49,"a",0.12,0
"RR","rand4","prefinal","tate",0.48,"e",0.11,0
"RR","rand4","prefinal","baro",0.46,"o",0.15,0
"RR","rand4","prefinal","ramo",0.41,"o",0.1,0
"RR","rand4","prefinal","kali'",0.37,"i",0.15,1
"RR","rand4","prefinal","nana'",0.37,"a",0.18,1
"RR","rand4","prefinal","palo",0.5,"o",0.14,0
"RR","rand4","prefinal","tito",0.43,"o",0.13,0
"RR","rand4","prefinal","como'",0.35,"o",0.13,1
"RR","rand4","prefinal","falo'",0.4,"o",0.17,1
"RR","rand4","prefinal","bara",0.41,"a",0.12,0
"RR","rand4","prefinal","sofa'",0.43,"a",0.15,1
"RR","rand4","prefinal","meta'",0.42,"a",0.19,1
"SS","rand3","prefinal","meta'",0.39,"a",0.16,1
"SS","rand3","prefinal","como'",0.43,"o",0.17,1
"SS","rand3","prefinal","pipi'",0.45,"i",0.22,1
"SS","rand3","prefinal","cile",0.44,"e",0.13,0
"SS","rand3","prefinal","kepi'",0.45,"i",0.2,1
"SS","rand3","prefinal","sofa'",0.49,"a",0.18,1
"SS","rand3","prefinal","case",0.5,"e",0.14,0
"SS","rand3","prefinal","maro'",0.41,"o",0.2,1
"SS","rand3","prefinal","casa",0.53,"a",0.16,0
"SS","rand3","prefinal","sede",0.5,"e",0.17,0
"SS","rand3","prefinal","mimi'",0.39,"i",0.15,1
"SS","rand3","prefinal","tana",0.49,"a",0.14,0
"SS","rand3","prefinal","tito",0.49,"o",0.17,0
"SS","rand3","prefinal","pate'",0.42,"e",0.16,1
"SS","rand3","prefinal","rita",0.45,"a",0.18,0
"SS","rand3","prefinal","bepi",0.46,"i",0.13,0
"SS","rand3","prefinal","pupi",0.51,"i",0.17,0
"SS","rand3","prefinal","falo'",0.45,"o",0.21,1
"SS","rand3","prefinal","nana'",0.36,"a",0.16,1
"SS","rand3","prefinal","mose'",0.46,"e",0.18,1
"SS","rand3","prefinal","toto'",0.45,"o",0.2,1
"SS","rand3","prefinal","bide'",0.37,"e",0.16,1
"SS","rand3","prefinal","bara",0.46,"a",0.13,0
"SS","rand3","prefinal","baro",0.46,"o",0.14,0
"SS","rand3","prefinal","palo",0.49,"o",0.15,0
"SS","rand3","prefinal","remi",0.44,"i",0.15,0
"SS","rand3","prefinal","kali'",0.41,"i",0.19,1
"SS","rand3","prefinal","tate",0.49,"e",0.13,0
"SS","rand3","prefinal","ramo",0.42,"o",0.09,0
"SS","rand3","prefinal","mali",0.47,"i",0.13,0
"SS","rand3","prefinal","gile'",0.36,"e",0.16,1
"SS","rand3","prefinal","para'",0.44,"a",0.21,1
"VF","rand4","prefinal","mose'",0.46,"e",0.15,1
"VF","rand4","prefinal","pupi",0.46,"i",0.1,0
"VF","rand4","prefinal","maro'",0.36,"o",0.14,1
"VF","rand4","prefinal","mimi'",0.4,"i",0.14,1
"VF","rand4","prefinal","bepi",0.43,"i",0.07,0
"VF","rand4","prefinal","pate'",0.44,"e",0.14,1
"VF","rand4","prefinal","para'",0.4,"a",0.15,1
"VF","rand4","prefinal","tana",0.43,"a",0.12,0
"VF","rand4","prefinal","mali",0.44,"i",0.08,0
"VF","rand4","prefinal","sede",0.45,"e",0.1,0
"VF","rand4","prefinal","remi",0.3,"i",0.02,0
"VF","rand4","prefinal","cile",0.49,"e",0.11,0
"VF","rand4","prefinal","kepi'",0.51,"i",0.21,1
"VF","rand4","prefinal","rita",0.41,"a",0.12,0
"VF","rand4","prefinal","toto'",0.4,"o",0.16,1
"VF","rand4","prefinal","case",0.51,"e",0.09,0
"VF","rand4","prefinal","bide'",0.45,"e",0.22,1
"VF","rand4","prefinal","gile'",0.38,"e",0.16,1
"VF","rand4","prefinal","pipi'",0.38,"i",0.12,1
