Speaker,Rand,Pros,WordPF,DurwPF,VowelPF,DurvowelPF,WordF,DurwF,VowelF,DurvowelF
ER,rand3,List,mimi',0.33,i',0.12,meta',0.29,a',0.09
ER,rand3,List,tana,0.40,a,0.11,falo',0.31,o',0.10
ER,rand3,List,tito,0.39,o,0.10,remi,0.35,i,0.11
ER,rand3,List,pate',0.38,e',0.14,kali',0.31,i',0.10
ER,rand3,List,rita,0.33,a,0.08,ramo,0.41,o,0.10
ER,rand3,List,bepi,0.43,i,0.11,palo,0.42,o,0.10
ER,rand3,List,pupi,0.39,i,0.07,mimi',0.31,i',0.10
ER,rand3,List,falo',0.33,o',0.13,tito,0.35,o,0.08
ER,rand3,List,nana',0.29,a',0.12,bepi,0.38,i,0.08
ER,rand3,List,mose',0.38,e',0.13,casa,0.39,a,0.08
ER,rand3,List,toto',0.32,o',0.12,bide',0.30,e',0.10
ER,rand3,List,bide',0.34,e',0.16,mose',0.33,e',0.09
ER,rand3,List,bara,0.38,a,0.11,cile,0.39,e,0.07
ER,rand3,List,baro,0.37,o,0.11,tana,0.34,a,0.09
ER,rand3,List,palo,0.41,o,0.09,tate,0.38,e,0.10
ER,rand3,List,remi,0.29,i,0.06,nana',0.26,a',0.10
ER,rand3,List,kali',0.32,i',0.11,kepi',0.29,i',0.08
ER,rand3,List,tate,0.44,e,0.11,para',0.30,a',0.11
ER,rand3,List,ramo,0.37,o,0.10,como',0.31,o',0.11
ER,rand3,List,mali,0.39,i,0.11,baro,0.36,o,0.11
ER,rand3,List,gile',0.26,e',0.10,toto',0.27,o',0.07
ER,rand3,List,para',0.34,a',0.15,pate',0.32,e',0.09
FB,rand4,List,mose',0.44,e',0.16,casa,0.43,a,0.10
FB,rand4,List,pupi,0.55,i,0.14,mimi',0.33,i',0.09
FB,rand4,List,maro',0.39,o',0.19,rita,0.36,a,0.10
FB,rand4,List,mimi',0.39,i',0.16,meta',0.34,a',0.11
FB,rand4,List,bepi,0.53,i,0.13,palo,0.47,o,0.10
FB,rand4,List,pate',0.48,e',0.18,kali',0.35,i',0.13
FB,rand4,List,para',0.44,a',0.19,pate',0.45,e',0.16
FB,rand4,List,tana,0.50,a,0.14,falo',0.40,o',0.12
FB,rand4,List,mali,0.48,i,0.12,baro,0.45,o,0.12
FB,rand4,List,sede,0.49,e,0.13,sofa',0.41,a',0.11
FB,rand4,List,remi,0.41,i,0.11,nana',0.31,a',0.12
FB,rand4,List,cile,0.57,e,0.15,pipi',0.34,i',0.10
FB,rand4,List,kepi',0.44,i',0.13,maro',0.32,o',0.12
FB,rand4,List,rita,0.43,a,0.15,ramo,0.46,o,0.09
FB,rand4,List,toto',0.48,o',0.19,bide',0.42,e',0.21
FB,rand4,List,case,0.51,e,0.12,sede,0.46,e,0.14
