Speaker,Rand,Pros,Word,Durw,Fvowel,DurFvowel
NL,rand2,Query,pate',0.4,e',0.17
NL,rand2,Query,tana,0.41,a,0.12
NL,rand2,Query,rita,0.33,a,0.12
NL,rand2,Query,bepi,0.44,i,0.12
NL,rand2,Query,como',0.38,o',0.16
NL,rand2,Query,baro,0.44,o,0.13
NL,rand2,Query,mali,0.44,i,0.12
NL,rand2,Query,kepi',0.44,i',0.18
NL,rand2,Query,palo,0.45,o,0.09
NL,rand2,Query,mimi',0.36,i',0.16
NL,rand2,Query,ramo,0.45,o,0.12
NL,rand2,Query,bara,0.44,a,0.13
NL,rand2,Query,cile,0.48,e,0.14
NL,rand2,Query,mose',0.38,e',0.17
NL,rand2,Stat,mimi',0.36,i',0.13
NL,rand2,Stat,casa,0.4,a,0.09
NL,rand2,Stat,baro,0.46,o,0.12
NL,rand2,Stat,como',0.34,o',0.1
NL,rand2,Stat,gile',0.26,e',0.09
NL,rand2,Stat,rita,0.37,a,0.13
NL,rand2,Stat,bara,0.43,a,0.11
NL,rand2,Stat,tana,0.42,a,0.13
NL,rand2,Stat,pupi,0.48,i,0.12
NL,rand2,Stat,para',0.38,a',0.16
NL,rand2,Stat,sede,0.47,e,0.13
NL,rand2,Stat,palo,0.51,o,0.11
NL,rand2,Stat,mose',0.38,e',0.13
NL,rand2,Stat,nana',0.34,a',0.12
NL,rand2,Stat,mali,0.44,i,0.11
NL,rand2,Stat,pipi',0.33,i',0.09
NL,rand2,Stat,bepi,0.51,i,0.12
NL,rand2,Stat,falo',0.36,o',0.13
NL,rand2,Stat,remi,0.35,i,0.09
NL,rand2,Stat,kali',0.34,i',0.11
NL,rand2,Stat,case,0.44,e,0.1
NL,rand2,Stat,kepi',0.46,i',0.14
NL,rand2,Stat,pate',0.35,e',0.11
NL,rand2,Stat,toto',0.41,o',0.13
NL,rand2,Stat,ramo,0.48,o,0.12
NL,rand2,Stat,tate,0.46,e,0.12
NL,rand2,Stat,cile,0.46,e,0.12
NL,rand2,Stat,maro',0.33,o',0.13
NL,rand2,Stat,tito,0.4,o,0.1
NL,rand2,Stat,sofa',0.42,a',0.14
NL,rand2,Stat,bide',0.33,e',0.13
NL,rand2,Stat,meta',0.34,a',0.13
PG,rand3,Query,sede,0.45,e,0.15
PG,rand3,Query,pate',0.45,e',0.21
PG,rand3,Query,como',0.45,o',0.22
PG,rand3,Query,kali',0.42,i',0.24
PG,rand3,Query,palo,0.46,o,0.11
PG,rand3,Query,tito,0.45,o,0.15
PG,rand3,Query,rita,0.39,a,0.14
PG,rand3,Query,gile',0.35,e',0.17
PG,rand3,Query,mali,0.42,i,0.11
PG,rand3,Query,pipi',0.39,i',0.17
PG,rand3,Query,casa,0.48,a,0.12
PG,rand3,Query,ramo,0.43,o,0.11
PG,rand3,Query,case,0.47,e,0.11
PG,rand3,Query,kepi',0.4,i',0.16
PG,rand3,Query,meta',0.39,a',0.19
PG,rand3,Query,pupi,0.44,i,0.13
PG,rand3,Query,bide',0.39,e',0.19
PG,rand3,Query,baro,0.42,o,0.1
PG,rand3,Query,tana,0.41,a,0.12
PG,rand3,Query,remi,0.35,i,0.09
PG,rand3,Query,bepi,0.45,i,0.11
PG,rand3,Query,maro',0.35,o',0.16
PG,rand3,Query,falo',0.36,o',0.14
PG,rand3,Query,tate,0.44,e,0.12
PG,rand3,Query,mose',0.4,e',0.17
PG,rand3,Query,bara,0.42,a,0.12
PG,rand3,Query,cile,0.41,e,0.12
PG,rand3,Query,nana',0.39,a',0.2
PG,rand3,Query,para',0.36,a',0.14
PG,rand3,Query,toto',0.38,o',0.18
PG,rand3,Query,mimi',0.39,i',0.19
PG,rand3,Query,sofa',0.46,a',0.22
PG,rand3,Stat,palo,0.41,o,0.08
PG,rand3,Stat,meta',0.32,a',0.11
PG,rand3,Stat,maro',0.32,o',0.13
PG,rand3,Stat,remi,0.33,i,0.09
PG,rand3,Stat,bide',0.31,e',0.11
PG,rand3,Stat,mimi',0.3,i',0.1
PG,rand3,Stat,falo',0.31,o',0.1
PG,rand3,Stat,nana',0.28,a',0.12
